fold_name,subset_name,model_name,baseline_model_name,xgb_roc_auc,baseline_roc_auc,delta_roc_auc,xgb_average_precision,baseline_average_precision,delta_average_precision,xgb_log_loss,baseline_log_loss,delta_log_loss,xgb_brier_score,baseline_brier_score,delta_brier,xgb_accuracy,baseline_accuracy,delta_accuracy,xgb_mcc,baseline_mcc,delta_mcc,sample_count,delta_direction_note
fold_2020,DENSE,xgboost_fixed_v1,logistic_regression_l2,0.564555399479249,0.5574944775399141,0.007060921939334941,0.5766534721055995,0.568806215678112,0.007847256427487515,0.6868616047389247,0.6881258178431385,-0.0012642131042138738,0.24687283523069423,0.24749415772779748,-0.0006213224971032549,0.546468188376026,0.5412896630136724,0.0051785253623535255,0.09096843867809003,0.08044140736564893,0.010527031312441093,104663,Positive ROC-AUC/AP/Accuracy/MCC favors XGB; negative LogLoss/Brier favors XGB.
fold_2022,OFFSET_40,xgboost_fixed_v1,logistic_regression_l2,0.5465920525630317,0.5353827576822131,0.011209294880818566,0.538713539307055,0.5294755328288083,0.009238006478246685,0.6901500999934561,0.6925303122321891,-0.0023802122387329705,0.2485027005043695,0.24967900842286725,-0.0011763079184977376,0.537846786162804,0.5239182555086197,0.013928530654184312,0.07642384282856904,0.04823549705805113,0.02818834577051791,8759,Positive ROC-AUC/AP/Accuracy/MCC favors XGB; negative LogLoss/Brier favors XGB.
fold_2022,OFFSET_45,xgboost_fixed_v1,logistic_regression_l2,0.5533681212195156,0.5394735099527663,0.01389461126674929,0.5445306115746646,0.5331548608209754,0.01137575075368924,0.6890332312272455,0.6916505059287139,-0.0026172747014684417,0.24794560319394257,0.2492422536335113,-0.001296650439568725,0.5399018152757165,0.5235757506564677,0.016326064619248792,0.07957965138683563,0.046643849996842845,0.03293580138999279,8759,Positive ROC-AUC/AP/Accuracy/MCC favors XGB; negative LogLoss/Brier favors XGB.
fold_2022,OFFSET_50,xgboost_fixed_v1,logistic_regression_l2,0.548774874972717,0.5402954561784288,0.008479418794288263,0.5345800549948088,0.5253213166223359,0.009258738372472819,0.6899729270078487,0.6917445443304401,-0.0017716173225913456,0.24841414697197348,0.2492889799123761,-0.0008748329404026367,0.534535905925334,0.5280283137344446,0.006507592190889366,0.07105160748326302,0.05767294557742674,0.013378661905836274,8759,Positive ROC-AUC/AP/Accuracy/MCC favors XGB; negative LogLoss/Brier favors XGB.
fold_2022,OFFSET_55,xgboost_fixed_v1,logistic_regression_l2,0.5602207470298893,0.5490775529187014,0.011143194111187915,0.5539514786287201,0.5383827294844148,0.015568749144305283,0.6876500878076062,0.689893659290825,-0.0022435714832188536,0.24726398971987276,0.24837074311475835,-0.0011067533948855846,0.5435552003653386,0.5361342619020436,0.007420938463294946,0.0872182045731441,0.0721253193234523,0.015092885249691795,8759,Positive ROC-AUC/AP/Accuracy/MCC favors XGB; negative LogLoss/Brier favors XGB.
fold_2022,ALL_MARGINS,xgboost_fixed_v1,logistic_regression_l2,0.5586300576490392,0.5481006022736339,0.010529455375405283,0.5464349305368412,0.5355255718510368,0.010909358685804449,0.6882495388748113,0.6902811119239939,-0.0020315730491825557,0.24755802885729938,0.24856222395012045,-0.0010041950928210697,0.5427750504243255,0.5342314571678655,0.008543593256460036,0.08663278669084139,0.06923962342541065,0.017393163265430736,105108,Positive ROC-AUC/AP/Accuracy/MCC favors XGB; negative LogLoss/Brier favors XGB.
fold_2022,ABS_RETURN_GE_1BPS,xgboost_fixed_v1,logistic_regression_l2,0.5601475012407522,0.5495598193767175,0.010587681864034693,0.5479400466258924,0.5365965036364035,0.011343542989488808,0.6879909961323837,0.6900233797953533,-0.00203238366296965,0.24742971076858075,0.24843403301070294,-0.0010043222421221853,0.5439171077384956,0.5353296098098274,0.008587497928668197,0.0888896663059304,0.07140308835284526,0.01748657795308514,102591,Positive ROC-AUC/AP/Accuracy/MCC favors XGB; negative LogLoss/Brier favors XGB.
fold_2022,ABS_RETURN_GE_2_5BPS,xgboost_fixed_v1,logistic_regression_l2,0.5625134166193915,0.5515881513515828,0.010925265267808681,0.5497916284730475,0.5381999818841079,0.01159164658893963,0.6876201816612483,0.6896704748309356,-0.0020502931696873006,0.24724537877827144,0.24825885958715518,-0.0010134808088837488,0.54565697050667,0.5367199044553754,0.008937066051294518,0.09246228270020083,0.07423561384856167,0.018226668851639163,98802,Positive ROC-AUC/AP/Accuracy/MCC favors XGB; negative LogLoss/Brier favors XGB.
fold_2022,ABS_RETURN_GE_5BPS,xgboost_fixed_v1,logistic_regression_l2,0.5645209946971075,0.5532713291346559,0.01124966556245155,0.5507561290687248,0.5389010608539359,0.011855068214788989,0.6873355607910172,0.6894159749283457,-0.0020804141373285123,0.24710362835542568,0.2481321310988745,-0.001028502743448817,0.5470758528312485,0.5381316568366928,0.008944195994555648,0.09553458037043376,0.07724852402291342,0.01828605634752034,92574,Positive ROC-AUC/AP/Accuracy/MCC favors XGB; negative LogLoss/Brier favors XGB.
fold_2022,ABS_RETURN_GE_10BPS,xgboost_fixed_v1,logistic_regression_l2,0.5670029080363577,0.555275239485684,0.011727668550673642,0.5531275705157664,0.5403369483446436,0.012790622171122812,0.6869577393788955,0.6891169894416934,-0.002159250062797935,0.24691585246507847,0.24798263365940387,-0.0010667811943254057,0.5488085232609878,0.5399218865872348,0.008886636673753001,0.09914655677616495,0.08088415030611615,0.0182624064700488,80908,Positive ROC-AUC/AP/Accuracy/MCC favors XGB; negative LogLoss/Brier favors XGB.
fold_2023,DENSE,xgboost_fixed_v1,logistic_regression_l2,0.5519983564716784,0.5406477618939706,0.011350594577707818,0.5452552280440334,0.5374137384908937,0.00784148955313968,0.689721474657912,0.6914390136448743,-0.0017175389869622526,0.2482749265121709,0.24913537582717937,-0.0008604493150084769,0.5415397212278162,0.5310191179830909,0.010520603244725368,0.08224707214674187,0.06038223485099779,0.02186483729574408,105032,Positive ROC-AUC/AP/Accuracy/MCC favors XGB; negative LogLoss/Brier favors XGB.
