model_name,candidate_name,fold_name,feature_index,feature_name,gain,total_gain,weight,cover,total_cover,normalized_gain,importance_rank
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,3,log_return_5m,22.553482055664062,90.21392822265625,4.0,5329.1083984375,21316.43359375,0.0011551786633052325,32
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,4,log_return_10m,64.45028686523438,64.45028686523438,1.0,20488.935546875,20488.935546875,0.0008252782879254173,35
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,5,log_return_15m,18.884044647216797,37.768089294433594,2.0,3564.75439453125,7129.5087890625,0.00048361590905404716,42
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,6,log_return_30m,22.441089630126953,112.20545196533203,5.0,4630.05859375,23150.29296875,0.0014367775195085646,29
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,7,log_return_60m,711.5333862304688,1423.0667724609375,2.0,34787.1875,69574.375,0.018222201431559774,9
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,8,log_return_120m,80.16386413574219,5290.81494140625,66.0,15522.318359375,1024473.0,0.06774825852527395,3
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,9,momentum_acceleration_5_30,65.13372802734375,260.534912109375,4.0,17192.54296875,68770.171875,0.003336118684157577,21
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,10,momentum_acceleration_15_60,56.723262786865234,907.5722045898438,16.0,13675.6982421875,218811.171875,0.011621354560279335,13
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,11,efficiency_ratio_15m,0.0,0.0,0.0,0.0,0.0,0.0,48
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,12,efficiency_ratio_60m,52.120357513427734,364.8424987792969,7.0,10879.3505859375,76155.453125,0.004671764974213421,18
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,13,up_candle_ratio_15m,0.0,0.0,0.0,0.0,0.0,0.0,49
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,14,realized_volatility_5m,28.090274810791016,56.18054962158203,2.0,10827.263671875,21654.52734375,0.0007193852822308856,38
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,15,realized_volatility_15m,27.8153076171875,55.630615234375,2.0,3865.990234375,7731.98046875,0.0007123434375530716,39
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,16,realized_volatility_30m,47.48833084106445,237.441650390625,5.0,12964.2373046875,64821.1875,0.003040412203692802,22
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,17,realized_volatility_60m,49.22104263305664,1279.7470703125,26.0,10032.42578125,260843.078125,0.01638700962454169,12
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,18,realized_volatility_120m,49.116268157958984,736.7440185546875,15.0,14079.3642578125,211190.46875,0.009433919876004159,15
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,19,volatility_ratio_5_60,10.097549438476562,10.097549438476562,1.0,722.3800659179688,722.3800659179688,0.00012929792430952422,45
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,20,volatility_ratio_15_120,29.4008846282959,88.20265197753906,3.0,7803.53369140625,23410.6015625,0.0011294245092611063,34
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,21,normalized_atr_14,0.0,0.0,0.0,0.0,0.0,0.0,50
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,22,normalized_atr_60,31.52556610107422,283.7301025390625,9.0,8587.791015625,77290.1171875,0.003633130349690478,19
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,23,semivariance_imbalance_60m,22.778499603271484,91.11399841308594,4.0,2458.1923828125,9832.76953125,0.00116670395546295,31
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,24,ema_distance_5,45.777801513671875,137.33340454101562,3.0,7645.615234375,22936.845703125,0.0017585379753478612,26
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,25,ema_distance_20,77.47415161132812,1317.060546875,17.0,15500.7109375,263512.09375,0.016864804271421004,11
