fold_name,feature_index,feature_name,coefficient,absolute_coefficient,coefficient_rank,coefficient_sign
fold_2021,8,log_return_120m,-0.03114483515919828,0.03114483515919828,9,negative
fold_2021,9,momentum_acceleration_5_30,-0.003032600183417636,0.003032600183417636,52,negative
fold_2021,10,momentum_acceleration_15_60,0.004048121336588892,0.004048121336588892,47,positive
fold_2021,11,efficiency_ratio_15m,0.0062389394051974596,0.0062389394051974596,37,positive
fold_2021,12,efficiency_ratio_60m,-0.0036986079121436536,0.0036986079121436536,48,negative
fold_2021,13,up_candle_ratio_15m,-0.011313665814688107,0.011313665814688107,25,negative
fold_2021,14,realized_volatility_5m,0.0012663477355293242,0.0012663477355293242,58,positive
fold_2021,15,realized_volatility_15m,0.03640722010121061,0.03640722010121061,7,positive
fold_2021,16,realized_volatility_30m,0.00923869597208421,0.00923869597208421,30,positive
fold_2021,17,realized_volatility_60m,-0.053214539796952204,0.053214539796952204,4,negative
fold_2021,18,realized_volatility_120m,-0.019533489140518494,0.019533489140518494,15,negative
fold_2021,19,volatility_ratio_5_60,-0.004704957263790887,0.004704957263790887,45,negative
fold_2021,20,volatility_ratio_15_120,-0.01842293577991343,0.01842293577991343,17,negative
fold_2021,21,normalized_atr_14,-0.00501388215949872,0.00501388215949872,42,negative
fold_2021,22,normalized_atr_60,0.05322367281608976,0.05322367281608976,3,positive
fold_2021,23,semivariance_imbalance_60m,-0.0467921473075333,0.0467921473075333,5,negative
fold_2021,24,ema_distance_5,-0.002024730696853518,0.002024730696853518,55,negative
fold_2021,25,ema_distance_20,-0.01208969859521815,0.01208969859521815,22,negative
fold_2021,26,ema_distance_60,0.020404547986128833,0.020404547986128833,13,positive
fold_2021,27,ema_distance_120,-0.02647272680371446,0.02647272680371446,11,negative
fold_2021,28,ema_spread_5_20,-0.0120642061058832,0.0120642061058832,23,negative
fold_2021,29,ema_spread_20_60,0.02902114649521587,0.02902114649521587,10,positive
fold_2021,30,normalized_slope_15m,0.009899497830178414,0.009899497830178414,28,positive
fold_2021,31,normalized_slope_60m,-0.008956938235495497,0.008956938235495497,31,negative
fold_2021,32,range_position_30m,-0.031369863369642384,0.031369863369642384,8,negative
fold_2021,33,range_position_60m,0.013807978444133022,0.013807978444133022,20,positive
fold_2021,34,range_position_120m,-0.1855819840777753,0.1855819840777753,1,negative
fold_2021,35,support_distance_60m,0.011576680977849113,0.011576680977849113,24,positive
fold_2021,36,resistance_distance_60m,0.005686987190349199,0.005686987190349199,39,positive
fold_2021,37,vwap_distance_60m,-0.004714769402391663,0.004714769402391663,44,negative
fold_2021,38,signed_body_ratio,-0.0006085573424045819,0.0006085573424045819,62,negative
fold_2021,39,absolute_body_ratio,0.009503553282467608,0.009503553282467608,29,positive
fold_2021,40,upper_wick_ratio,-0.000947415261868657,0.000947415261868657,59,negative
fold_2021,41,lower_wick_ratio,0.01553888237263631,0.01553888237263631,18,positive
fold_2021,42,close_location,0.005752301401250199,0.005752301401250199,38,positive
fold_2021,43,signed_body_mean_5m,-0.005335438612691527,0.005335438612691527,41,negative
fold_2021,44,upper_wick_mean_15m,-0.04195301987554512,0.04195301987554512,6,negative
fold_2021,45,lower_wick_mean_15m,-0.006678257462609749,0.006678257462609749,35,negative
fold_2021,46,is_zero_volume_1m,-0.0006582416005469755,0.0006582416005469755,60,negative
fold_2021,47,log_quote_volume_zscore_60m,-0.019067560928190574,0.019067560928190574,16,negative
fold_2021,48,volume_ratio_5_60,-0.002756380429676254,0.002756380429676254,53,negative
fold_2021,49,volume_ratio_15_60,0.006304348354674302,0.006304348354674302,36,positive
fold_2021,50,taker_buy_quote_ratio_1m,0.008715754215457084,0.008715754215457084,32,positive
fold_2021,51,taker_buy_quote_ratio_5m,-0.002128061220721195,0.002128061220721195,54,negative
fold_2021,52,taker_buy_quote_ratio_15m,-0.007604212020584052,0.007604212020584052,34,negative
fold_2021,53,taker_buy_quote_ratio_60m,-0.0006124455399473568,0.0006124455399473568,61,negative
fold_2021,54,buy_pressure_change_5_60,-0.0019351962945055726,0.0019351962945055726,56,negative
fold_2021,55,buy_pressure_persistence_15m,-0.004574717084213918,0.004574717084213918,46,negative
fold_2021,56,buy_pressure_std_15m,0.0105676946651864,0.0105676946651864,26,positive
fold_2021,57,log_trade_count_zscore_60m,0.003615773076056497,0.003615773076056497,49,positive
fold_2021,58,log_avg_trade_quote_size_zscore_60m,0.012258607511237477,0.012258607511237477,21,positive
fold_2021,59,time_sin,-0.05731856340266987,0.05731856340266987,2,negative
fold_2021,60,time_cos,-0.010291273333332594,0.010291273333332594,27,negative
fold_2021,61,weekday_sin,0.005636957855014532,0.005636957855014532,40,positive
fold_2021,62,weekday_cos,-0.003429094447273796,0.003429094447273796,51,negative
fold_2021,63,is_weekend,0.0035757598624849814,0.0035757598624849814,50,positive
fold_2022,1,log_return_1m,0.0009017363040182765,0.0009017363040182765,59,positive
fold_2022,2,log_return_3m,-0.001745103635941625,0.001745103635941625,54,negative
fold_2022,3,log_return_5m,0.004109265374428672,0.004109265374428672,48,positive
fold_2022,4,log_return_10m,-0.01361631937756968,0.01361631937756968,28,negative
fold_2022,5,log_return_15m,0.011145182642704638,0.011145182642704638,33,positive
fold_2022,6,log_return_30m,0.013305963970443082,0.013305963970443082,30,positive
fold_2022,7,log_return_60m,0.020081754529504024,0.020081754529504024,15,positive
fold_2022,8,log_return_120m,-0.02467455173468972,0.02467455173468972,12,negative
fold_2022,9,momentum_acceleration_5_30,-0.001145347731087385,0.001145347731087385,57,negative
fold_2022,10,momentum_acceleration_15_60,0.0016466769152499517,0.0016466769152499517,56,positive
fold_2022,11,efficiency_ratio_15m,0.002793761858249461,0.002793761858249461,52,positive
fold_2022,12,efficiency_ratio_60m,-0.00011742877005085343,0.00011742877005085343,63,negative
fold_2022,13,up_candle_ratio_15m,-0.013356406998453987,0.013356406998453987,29,negative
fold_2022,14,realized_volatility_5m,0.006543535723740132,0.006543535723740132,39,positive
fold_2022,15,realized_volatility_15m,0.014957932942421521,0.014957932942421521,25,positive
fold_2022,16,realized_volatility_30m,0.0025293487792316274,0.0025293487792316274,53,positive
fold_2022,17,realized_volatility_60m,-0.020952544525787778,0.020952544525787778,14,negative
fold_2022,18,realized_volatility_120m,-0.023693045297363775,0.023693045297363775,13,negative
fold_2022,19,volatility_ratio_5_60,-0.008436713619445844,0.008436713619445844,35,negative
fold_2022,20,volatility_ratio_15_120,-0.018973205980095633,0.018973205980095633,16,negative
fold_2022,21,normalized_atr_14,0.01817417433257818,0.01817417433257818,17,positive
fold_2022,22,normalized_atr_60,0.036072444045871926,0.036072444045871926,6,positive
fold_2022,23,semivariance_imbalance_60m,-0.026572304876758143,0.026572304876758143,11,negative
fold_2022,24,ema_distance_5,-0.0008281274192873121,0.0008281274192873121,60,negative
fold_2022,25,ema_distance_20,-0.015296916365053705,0.015296916365053705,24,negative
fold_2022,26,ema_distance_60,0.027906245441919525,0.027906245441919525,10,positive
fold_2022,27,ema_distance_120,-0.04089531132770117,0.04089531132770117,3,negative
fold_2022,28,ema_spread_5_20,-0.01542017980286453,0.01542017980286453,23,negative
fold_2022,29,ema_spread_20_60,0.03936337276689146,0.03936337276689146,4,positive
fold_2022,30,normalized_slope_15m,0.01304867515228462,0.01304867515228462,31,positive
fold_2022,31,normalized_slope_60m,-0.0031452006848855622,0.0031452006848855622,50,negative
fold_2022,32,range_position_30m,-0.03786405556338657,0.03786405556338657,5,negative
fold_2022,33,range_position_60m,0.02963640235767941,0.02963640235767941,8,positive
fold_2022,34,range_position_120m,-0.1678512593569775,0.1678512593569775,1,negative
fold_2022,35,support_distance_60m,0.013673136077426228,0.013673136077426228,27,positive
fold_2022,36,resistance_distance_60m,0.006562079391302147,0.006562079391302147,38,positive
fold_2022,37,vwap_distance_60m,-0.00524834301652611,0.00524834301652611,44,negative
fold_2022,38,signed_body_ratio,-0.0005104720892533413,0.0005104720892533413,61,negative
fold_2022,39,absolute_body_ratio,0.012594437588123168,0.012594437588123168,32,positive
fold_2022,40,upper_wick_ratio,0.0029359557659659748,0.0029359557659659748,51,positive
fold_2022,41,lower_wick_ratio,0.017848802794440493,0.017848802794440493,18,positive
fold_2022,42,close_location,0.005178578912183856,0.005178578912183856,46,positive
fold_2022,43,signed_body_mean_5m,-0.007227637798451687,0.007227637798451687,36,negative
fold_2022,44,upper_wick_mean_15m,-0.03432522735377314,0.03432522735377314,7,negative
fold_2022,45,lower_wick_mean_15m,-0.006894864539919219,0.006894864539919219,37,negative
fold_2022,46,is_zero_volume_1m,-0.00016138040938498522,0.00016138040938498522,62,negative
fold_2022,47,log_quote_volume_zscore_60m,-0.02903071265530544,0.02903071265530544,9,negative
fold_2022,48,volume_ratio_5_60,-0.001692271334299417,0.001692271334299417,55,negative
fold_2022,49,volume_ratio_15_60,0.005229288442413288,0.005229288442413288,45,positive
