decision_month_utc,sample_count,up_count,down_or_equal_count,up_ratio,mean_return,median_return,return_std,boundary_risk_5bps_ratio,boundary_risk_10bps_ratio
201905,8795,4812,3983,0.5471290505969301,0.0006806505075353956,0.0005932230350189638,0.008622365399653543,0.07868106878908471,0.15997725980670835
201906,8615,4568,4047,0.5302379570516541,0.0003914778276486491,0.00045779184873318,0.01043418669969868,0.0702263493905978,0.13975623911781776
201907,8928,4466,4462,0.5002240143369175,-5.07011476664716e-05,3.074413677195409e-06,0.01111930326643804,0.06653225806451613,0.13362455197132617
201908,8819,4331,4488,0.4910987640322032,-4.0073137042662206e-05,-7.889096829893916e-05,0.006871476230963796,0.10329969384283932,0.194126318176664
201909,8640,4079,4561,0.4721064814814815,-0.00019412938491881869,-0.00019343443320268827,0.006624031060696226,0.134375,0.26064814814814813
201910,8928,4423,4505,0.49540770609318996,0.00016703062412193076,-3.5338705415277616e-05,0.0075941198557556025,0.12836021505376344,0.25100806451612906
201911,8549,4213,4336,0.4928061761609545,-0.00022024250552858492,-5.944035160720951e-05,0.0059263929986281775,0.13054158381097206,0.2619019768393964
201912,8928,4633,4295,0.5189292114695341,-4.646095107374906e-05,0.000110665631807505,0.005063492995836647,0.15367383512544802,0.2954749103942652
202001,8928,4645,4283,0.5202732974910395,0.0003725384762882378,0.00016907089276529952,0.00560783439337682,0.1226478494623656,0.24540770609318996
202002,8244,4124,4120,0.500242600679282,-0.00012991377375896627,1.0175734604933595e-06,0.005222605689710276,0.11280931586608442,0.22416302765647744
202003,8890,4454,4436,0.5010123734533183,-0.000229320968016044,1.4109718238120017e-05,0.01830286763860422,0.06659167604049494,0.13374578177727783
202004,8597,4602,3995,0.5353030126788415,0.00045769476470325664,0.0003140703517587884,0.006961590087590252,0.1045713621030592,0.20158194719088054
202005,8928,4683,4245,0.5245295698924731,0.00014459899402156302,0.00024654462400608423,0.00744341643545264,0.09262992831541218,0.18884408602150538
202006,8585,4255,4330,0.49563191613278973,-4.237341480725281e-05,-2.280253522723985e-05,0.0048206247361309166,0.16750145602795574,0.3220733838089691
202007,8928,4551,4377,0.509744623655914,0.0002957396743713738,4.3485054932901335e-05,0.003928291803929562,0.23163082437275986,0.42887544802867383
202008,8928,4542,4386,0.508736559139785,4.905164344917059e-05,8.019810788706394e-05,0.004904383740188386,0.12343189964157707,0.24719982078853048
202009,8640,4340,4300,0.5023148148148148,-8.814218776690429e-05,1.8681093721606423e-05,0.005020274174131759,0.12743055555555555,0.24178240740740742
202010,8928,4853,4075,0.5435707885304659,0.0003385061415921722,0.0002541156799199529,0.004380351284065541,0.16565860215053763,0.32717293906810035
202011,8615,4595,4020,0.5333720255368544,0.0005120479786115651,0.0004621619622375839,0.0073263759919253634,0.07626233313987231,0.14474753337202553
202012,8840,4775,4065,0.540158371040724,0.0005450697597768416,0.00046237589773723275,0.007626482570259519,0.08472850678733032,0.1591628959276018
202101,8928,4537,4391,0.5081765232974911,0.00026966840547007243,0.00023560244290588006,0.01473248649355016,0.03875448028673835,0.07560483870967742
202102,8036,4229,3807,0.5262568442010951,0.000568869282981226,0.0004438754025075653,0.011163165208022064,0.05711796913887506,0.10801393728222997
202103,8897,4776,4121,0.5368101607283354,0.0003764510975262791,0.0005976973947019459,0.008159528107329969,0.06148139822412049,0.11869169382938069
202104,8528,4295,4233,0.5036350844277674,1.0285787715468283e-06,3.490676826922723e-05,0.00763316076298827,0.07844746716697937,0.15384615384615385
202105,8928,4362,4566,0.4885752688172043,-0.0004805013603066598,-0.00022095987595727173,0.013991999321009618,0.04491487455197132,0.09262992831541218
202106,8640,4363,4277,0.5049768518518518,-5.193691057959782e-05,0.00013341812524980678,0.010395911112335666,0.05138888888888889,0.10034722222222223
202107,8928,4712,4216,0.5277777777777778,0.0002636671159245475,0.00032102421968960293,0.007231358010644242,0.08568548387096774,0.167002688172043
202108,8861,4596,4265,0.5186773501862092,0.00014769861209810593,0.0002406501952736395,0.006423056895447995,0.08148064552533574,0.1622841665726216
202109,8603,4400,4203,0.5114494943624317,-6.419540971639867e-05,0.00014202020202014332,0.007932365763853613,0.08032081831919098,0.16203649889573404
202110,8928,4485,4443,0.5023521505376344,0.00047649267996536886,3.1663784314739374e-05,0.0067542085490381034,0.0841173835125448,0.1676747311827957
202111,8640,4147,4493,0.47997685185185185,-7.607208049602522e-05,-0.0002253519403617732,0.006464607732491365,0.08761574074074074,0.16828703703703704
202112,8928,4262,4666,0.47737455197132617,-0.0002538807459742582,-0.00028545513754762997,0.007517059620766835,0.07818100358422939,0.15681003584229392
202201,8928,4388,4540,0.4914874551971326,-0.00022850507378455474,-9.96720820259922e-05,0.007296865575683132,0.07941308243727599,0.15714605734767026
202202,8064,4143,3921,0.5137648809523809,0.00021197398845875862,0.00013526588919521298,0.007842044376055115,0.08519345238095238,0.1675347222222222
202203,8928,4610,4318,0.516353046594982,8.770937019082523e-05,0.00017606792213897826,0.00657384976936027,0.09901433691756273,0.19724462365591397
202204,8640,4356,4284,0.5041666666666667,-0.0002506525807627984,3.6845531374063434e-05,0.005057764969301174,0.11863425925925926,0.2309027777777778
202205,8928,4363,4565,0.4886872759856631,-0.00018827188086245974,-0.00013148892971603932,0.008732771418845466,0.08277329749103943,0.16106630824372759
202206,8640,4112,4528,0.4759259259259259,-0.0005877308898841712,-0.0003182778997407043,0.010060524406736944,0.07256944444444445,0.146875
202207,8928,4539,4389,0.5084005376344086,0.0002263758164675623,0.00010680492525461105,0.00738745100295117,0.0769489247311828,0.15221774193548387
202208,8928,4425,4503,0.4956317204301075,-0.00018779852955860392,-3.4597992155604995e-05,0.005476975219889911,0.10562275985663082,0.21628584229390682
202209,8640,4378,4262,0.506712962962963,-2.244469417508822e-05,7.620011559228423e-05,0.006666014523128773,0.10034722222222223,0.20173611111111112
202210,8928,4448,4480,0.4982078853046595,7.834629847617521e-05,-1.308842416142264e-05,0.0038908961478963987,0.17237903225806453,0.3347894265232975
202211,8640,4268,4372,0.49398148148148147,-0.00021712634912382666,-3.3852850380211574e-05,0.0073401437468152185,0.15034722222222222,0.28043981481481484
202212,8928,4461,4467,0.49966397849462363,-4.711209080173083e-05,-2.914606631931882e-06,0.002834519592968054,0.2831541218637993,0.5088485663082437
202301,8928,4821,4107,0.539986559139785,0.0004603996400531627,0.00020410722529040637,0.004801356032318991,0.19847670250896057,0.3772401433691756
202302,8064,4015,4049,0.49789186507936506,1.5764310348721792e-05,-1.899429147894649e-05,0.004798722409398219,0.15786210317460317,0.30493551587301587
202303,8899,4490,4409,0.504551073154287,0.0003050371110978368,2.7376389214905927e-05,0.006821504627733327,0.1313630745027531,0.25294976963703786
