fold_name,boosting_round,inner_early_stop_logloss
fold_2022,189,0.6906694240243472
fold_2022,190,0.6906684715981208
fold_2023,0,0.693073221108916
fold_2023,1,0.692734770215697
fold_2023,2,0.6924629692440878
fold_2023,3,0.6921643445879953
fold_2023,4,0.6919422890161021
fold_2023,5,0.6916376113827184
fold_2023,6,0.6913775060074517
fold_2023,7,0.6911192295340378
fold_2023,8,0.690954516959426
fold_2023,9,0.6907173792843246
fold_2023,10,0.6905714019739612
fold_2023,11,0.6903844890112087
fold_2023,12,0.6902347895417
fold_2023,13,0.6900477460367694
fold_2023,14,0.6898431049989701
fold_2023,15,0.6896941482339797
fold_2023,16,0.6895119864387205
fold_2023,17,0.6893965848640323
fold_2023,18,0.689209117330536
fold_2023,19,0.6890563115843361
fold_2023,20,0.688904207163577
fold_2023,21,0.6887629029006157
fold_2023,22,0.6886439579761156
fold_2023,23,0.688571302925655
fold_2023,24,0.6884020542070529
fold_2023,25,0.6882751832681802
fold_2023,26,0.6881900669036869
fold_2023,27,0.6880638869098257
fold_2023,28,0.6879600784408471
fold_2023,29,0.6878603682628252
fold_2023,30,0.6877889785526232
fold_2023,31,0.6877087777469267
fold_2023,32,0.6876258589850728
fold_2023,33,0.6875540009362289
fold_2023,34,0.6874563486782769
fold_2023,35,0.6874034614387773
fold_2023,36,0.6873312503794231
fold_2023,37,0.6872553386993939
fold_2023,38,0.6872160463940864
fold_2023,39,0.6871574087856691
fold_2023,40,0.6870918901260756
fold_2023,41,0.6870692298425942
fold_2023,42,0.6870110587403696
fold_2023,43,0.686990459572529
fold_2023,44,0.6869378970320236
fold_2023,45,0.686913283559916
fold_2023,46,0.6868565050398786
fold_2023,47,0.6867989831861014
fold_2023,48,0.6867488909438563
fold_2023,49,0.6867315128781517
fold_2023,50,0.6866851943210446
fold_2023,51,0.6866315114706575
fold_2023,52,0.6865862782308951
fold_2023,53,0.6865588345584889
fold_2023,54,0.686538289869496
fold_2023,55,0.6865151851186786
fold_2023,56,0.686487757534557
fold_2023,57,0.6864759688042317
fold_2023,58,0.6864843083735654
fold_2023,59,0.6864649016966289
fold_2023,60,0.6864344086109792
fold_2023,61,0.6863926158922036
fold_2023,62,0.6863777974719101
fold_2023,63,0.6863527083405654
fold_2023,64,0.6863376515408035
fold_2023,65,0.6863262766311616
fold_2023,66,0.6863106375196953
fold_2023,67,0.6863065510355563
fold_2023,68,0.6863060924929841
fold_2023,69,0.6862874095933074
fold_2023,70,0.6862704535247147
fold_2023,71,0.6862377044396101
fold_2023,72,0.686243916246439
fold_2023,73,0.6862227617762552
fold_2023,74,0.6861982891565859
fold_2023,75,0.6862064579457748
fold_2023,76,0.686201603103976
fold_2023,77,0.6861824135199565
fold_2023,78,0.6861796290699266
fold_2023,79,0.6861521187851656
fold_2023,80,0.6861204376982855
fold_2023,81,0.6861413972478453
fold_2023,82,0.6861332368927548
fold_2023,83,0.6861157050312845
fold_2023,84,0.6861192711711077
fold_2023,85,0.6860945158975533
fold_2023,86,0.6860860090944914
fold_2023,87,0.6860771283314094
fold_2023,88,0.6860629790415822
fold_2023,89,0.6860531349150932
fold_2023,90,0.686049034211929
fold_2023,91,0.6860566067729207
fold_2023,92,0.6860484278828287
fold_2023,93,0.6860337424525806
fold_2023,94,0.6860351615322396
fold_2023,95,0.6860254777606041
fold_2023,96,0.6859959471675742
fold_2023,97,0.6859928016916494
fold_2023,98,0.6859683626519322
fold_2023,99,0.6859624115671109
fold_2023,100,0.6859840744344544
fold_2023,101,0.6859641823528246
fold_2023,102,0.6859507304739212
fold_2023,103,0.685953703360258
fold_2023,104,0.6859500523284481
fold_2023,105,0.6859201661723621
fold_2023,106,0.6859070580255402
fold_2023,107,0.685923690071523
fold_2023,108,0.6859452239358077
fold_2023,109,0.6859340922818133
fold_2023,110,0.6859375389730819
fold_2023,111,0.6859390634663204
fold_2023,112,0.6859470498687014
fold_2023,113,0.6859268512641811
fold_2023,114,0.6859318924947287
fold_2023,115,0.6859202611710032
fold_2023,116,0.6859282775632076
fold_2023,117,0.6859197003218482
fold_2023,118,0.6859161234933119
fold_2023,119,0.6859074055870154
fold_2023,120,0.6858878487090426
fold_2023,121,0.6858792314954391
fold_2023,122,0.6859035766971816
fold_2023,123,0.6858910664327078
fold_2023,124,0.6858774347275942
fold_2023,125,0.6858974138902573
fold_2023,126,0.6859008198799829
