comparison_type,fold_name,subset_name,model_name,reference_model_name,candidate_roc_auc,reference_roc_auc,delta_roc_auc,candidate_average_precision,reference_average_precision,delta_average_precision,candidate_log_loss,reference_log_loss,delta_log_loss,candidate_brier_score,reference_brier_score,delta_brier,candidate_accuracy,reference_accuracy,delta_accuracy,candidate_mcc,reference_mcc,delta_mcc,sample_count,delta_direction_note
vs_candidate1_reference,fold_2020,DENSE,xgb_depth3_v1,xgb_fixed_v1_reference,0.5640477496172579,0.564555399479249,-0.000507649861991144,0.5757604285413412,0.5766534721055995,-0.0008930435642582335,0.6871969642169021,0.6868616047389247,0.00033535947797747045,0.2470348398507476,0.24687283523069423,0.00016200462005336314,0.5452738790212396,0.546468188376026,-0.0011943093547863715,0.08855025482499797,0.09096843867809003,-0.0024181838530920596,104663,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,POOLED,OFFSET_20,xgb_low_learning_rate_v1,xgb_fixed_v1_reference,0.5482219362181012,0.5485553935529579,-0.0003334573348566794,0.5482031277196129,0.5484460441755372,-0.00024291645592433575,0.6897445220700636,0.6897616659110574,-1.7143840993716353e-05,0.24829954959913256,0.2483065370748028,-6.987475670239274e-06,0.5357102019347314,0.5370594826994763,-0.0013492807647449423,0.06982470595231528,0.07260284398507795,-0.002778138032762667,43727,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,POOLED,OFFSET_25,xgb_low_learning_rate_v1,xgb_fixed_v1_reference,0.5434760030439842,0.5439296460293422,-0.00045364298535799374,0.5414294510406622,0.5422424648570245,-0.0008130138163623402,0.6906564861731401,0.6906899194052836,-3.343323214344274e-05,0.2487497076589613,0.24876406303894122,-1.4355379979930083e-05,0.5335498330512738,0.5338700086904816,-0.00032017563920783143,0.06580859119068526,0.06650453320149959,-0.0006959420108143266,43726,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,POOLED,OFFSET_30,xgb_low_learning_rate_v1,xgb_fixed_v1_reference,0.5468306730479452,0.54708401841601,-0.00025334536806476127,0.5475107654138294,0.5481808967897392,-0.000670131375909877,0.6898992065614051,0.6899412939363125,-4.208737490740688e-05,0.24837441198329657,0.24839349627105123,-1.9084287754655982e-05,0.5352937141289187,0.5347906615141884,0.0005030526147302705,0.06838353220951329,0.06746634725206024,0.0009171849574530488,43733,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,POOLED,OFFSET_35,xgb_low_learning_rate_v1,xgb_fixed_v1_reference,0.5413009777619398,0.5412864029063253,1.4574855614402082e-05,0.5414840566174265,0.5418083876563773,-0.00032433103895079807,0.6910013595086727,0.6911280519749579,-0.00012669246628516095,0.24892187278289443,0.24898302171816045,-6.114893526601439e-05,0.5318531052775999,0.5316701728711242,0.00018293240647571096,0.062321378295726676,0.062021516126531055,0.00029986216919562075,43732,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,POOLED,OFFSET_40,xgb_low_learning_rate_v1,xgb_fixed_v1_reference,0.5414026745057134,0.5412827283786978,0.00011994612701560214,0.544478871489243,0.5440804440901218,0.00039842739912121505,0.6907831447144659,0.6909391555943465,-0.00015601087988059703,0.2488172835995707,0.2488924927551034,-7.520915553269059e-05,0.5320375028584495,0.532014635261834,2.286759661551674e-05,0.062489462042549765,0.0625180289809203,-2.8566938370541695e-05,43730,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,POOLED,OFFSET_45,xgb_low_learning_rate_v1,xgb_fixed_v1_reference,0.5413872656013133,0.5415325015547225,-0.00014523595340920625,0.5445951526677508,0.5449779110161328,-0.000382758348381973,0.6909074561598125,0.6909888326189481,-8.137645913552927e-05,0.2488794947821155,0.24891898825382397,-3.949347170847939e-05,0.5310649196222359,0.5306075781482243,0.00045734147401155223,0.06088657638069754,0.060013600057046194,0.0008729763236513463,43731,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,POOLED,OFFSET_50,xgb_low_learning_rate_v1,xgb_fixed_v1_reference,0.5453932207083864,0.5452112776140564,0.00018194309432995048,0.5485216436191493,0.548263090855229,0.0002585527639203944,0.690148627230388,0.6902747884864107,-0.00012616125602271655,0.24850169073978579,0.24856286138914466,-6.117064935887151e-05,0.5323576492110679,0.5333866910587697,-0.001029041847701806,0.06294379156878471,0.06506907127832681,-0.0021252797095420994,43730,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,POOLED,OFFSET_55,xgb_low_learning_rate_v1,xgb_fixed_v1_reference,0.5512937198752554,0.5514191704304814,-0.00012545055522594772,0.5525822040432158,0.5529662256235436,-0.000384021580327798,0.6891548909269599,0.6891856558730153,-3.076494605536162e-05,0.2480073202882305,0.24802148500443555,-1.4164716205050665e-05,0.5382803567345072,0.5377086668191173,0.0005716899153899169,0.07482358911143609,0.07374877758677732,0.0010748115246587697,43730,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,POOLED,ALL_MARGINS,xgb_low_learning_rate_v1,xgb_fixed_v1_reference,0.5491878440464917,0.5492648211986565,-7.697715216481438e-05,0.5495476057865137,0.5498197835364775,-0.00027217774996379784,0.689495866250868,0.6895485331227232,-5.2666871855233666e-05,0.24817755335925412,0.2482025365512343,-2.4983191980187947e-05,0.536590896963876,0.5366747467355759,-8.384977169995089e-05,0.07166042806739151,0.07188633453516939,-0.0002259064677778838,524748,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,POOLED,ABS_RETURN_GE_1BPS,xgb_low_learning_rate_v1,xgb_fixed_v1_reference,0.5506552169754559,0.5507457254384118,-9.0508462955885e-05,0.5510424092169262,0.5513347687017454,-0.0002923594848192046,0.6892170656716751,0.6892552527571919,-3.818708551683869e-05,0.24803961221003085,0.24805758068188535,-1.7968471854507007e-05,0.5375987176479787,0.5377199155524278,-0.00012119790444908851,0.07364128933414776,0.07394172579059659,-0.00030043645644882433,511560,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,POOLED,ABS_RETURN_GE_2_5BPS,xgb_low_learning_rate_v1,xgb_fixed_v1_reference,0.5522174439133842,0.5523074305203195,-8.998660693526617e-05,0.552856984047619,0.5531523703331527,-0.0002953862855337164,0.6889218943789617,0.6889475877073492,-2.5693328387532688e-05,0.24789346831012007,0.24790540719961235,-1.1938889492274507e-05,0.5387854952456096,0.5388729369850088,-8.744173939922995e-05,0.07591977693083586,0.07615357452055715,-0.0002337975897212935,491756,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,POOLED,ABS_RETURN_GE_5BPS,xgb_low_learning_rate_v1,xgb_fixed_v1_reference,0.5545090547668328,0.554598427344001,-8.93725771682341e-05,0.555964365136735,0.5561994450401859,-0.0002350799034509521,0.6884652039263175,0.6884778755617884,-1.2671635470917764e-05,0.24766743251000398,0.2476730591146758,-5.626604671821189e-06,0.5405199575260675,0.5406418089717479,-0.00012185144568033213,0.07912104573525248,0.07943518496598893,-0.0003141392307364488,459576,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_candidate1_reference,POOLED,ABS_RETURN_GE_10BPS,xgb_low_learning_rate_v1,xgb_fixed_v1_reference,0.5568369512692309,0.556921155938858,-8.420466962710815e-05,0.5595865101327887,0.5598120125913613,-0.00022550245857255735,0.6879802825705806,0.6879755886431731,4.693927407539711e-06,0.24742751861290785,0.24742477221402248,2.746398885367096e-06,0.5423073358763904,0.5423173544859576,-1.0018609567286063e-05,0.08225586623707012,0.08235397933859859,-9.811310152846309e-05,399257,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2020,DENSE,xgb_depth3_regularized_v1,logistic_regression_l2,0.5640404886103392,0.5574944775399141,0.006546011070425073,0.5758301714387677,0.568806215678112,0.007023955760655731,0.6871696867848335,0.6881258178431385,-0.0009561310583050542,0.2470241321236768,0.24749415772779748,-0.00047002560412068295,0.5449394724018994,0.5412896630136724,0.00364980938822701,0.08779145768523612,0.08044140736564893,0.007350050319587187,104663,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2020,NONOVERLAP_OFFSET_00,xgb_depth3_regularized_v1,logistic_regression_l2,0.5843761388459975,0.5753415748041448,0.009034564041852655,0.5924715904603787,0.5840244674288846,0.008447123031494086,0.6818389794293546,0.6841660228940893,-0.0023270434647347793,0.24440081781747858,0.24553608425374798,-0.0011352664362694054,0.5610595115239078,0.5492489393418186,0.01181057218208914,0.12028990854993445,0.09650719577194158,0.023782712777992862,8721,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2020,OFFSET_00,xgb_depth3_regularized_v1,logistic_regression_l2,0.5843761388459975,0.5753415748041448,0.009034564041852655,0.5924715904603787,0.5840244674288846,0.008447123031494086,0.6818389794293546,0.6841660228940893,-0.0023270434647347793,0.24440081781747858,0.24553608425374798,-0.0011352664362694054,0.5610595115239078,0.5492489393418186,0.01181057218208914,0.12028990854993445,0.09650719577194158,0.023782712777992862,8721,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2020,OFFSET_05,xgb_depth3_regularized_v1,logistic_regression_l2,0.5737701396890856,0.5671643048227437,0.00660583486634192,0.5827632000317856,0.5737758395931454,0.008987360438640235,0.6843722419155298,0.685967762901251,-0.0015955209857212438,0.24566195315059064,0.24643507989948915,-0.0007731267488985116,0.5460382983602798,0.5434009861254443,0.0026373122348355427,0.09032343497946853,0.08527139373222015,0.005052041247248382,8721,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2020,OFFSET_10,xgb_depth3_regularized_v1,logistic_regression_l2,0.5675477155849744,0.5583773362844849,0.009170379300489473,0.5744372977013634,0.5669836859059888,0.007453611795374626,0.6861083206871137,0.6879376875118033,-0.0018293668246895933,0.24650272723652958,0.24739969525280708,-0.0008969680162775051,0.5467262928563238,0.5440889806214884,0.0026373122348354316,0.09139494784123187,0.08625511599638547,0.005139831844846399,8721,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2020,OFFSET_15,xgb_depth3_regularized_v1,logistic_regression_l2,0.5720197750304556,0.5671197061923243,0.004900068838131322,0.5850487094920735,0.5787530591526779,0.006295650339395609,0.6848627294419329,0.6860255613312702,-0.0011628318893373013,0.24589895852604626,0.24645485162220912,-0.0005558930961628572,0.5494782708404999,0.5472996216030271,0.002178649237472796,0.09668343689445312,0.09255626784069328,0.004127169053759844,8721,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2020,OFFSET_20,xgb_depth3_regularized_v1,logistic_regression_l2,0.5606212986104195,0.5552330712885196,0.005388227321899919,0.5759884417554215,0.5691784093576591,0.0068100323977624555,0.6880621021862316,0.6886546808921375,-0.0005925787059058996,0.24745880002630324,0.24775424341090016,-0.0002954433845969162,0.5444329778695104,0.5405343423919275,0.003898635477582846,0.08639576665072041,0.07873709591881255,0.00765867073190786,8721,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2020,OFFSET_25,xgb_depth3_regularized_v1,logistic_regression_l2,0.5563698082352091,0.5474024035947131,0.008967404640495946,0.5660537556690729,0.55893206850879,0.007121687160282941,0.6893376367860353,0.6903689865740299,-0.0010313497879945732,0.24808436644481474,0.2486030653970463,-0.0005186989522315555,0.5425458715596331,0.5383027522935779,0.00424311926605514,0.08299310212481602,0.07453273805697075,0.008460364067845269,8720,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2020,OFFSET_30,xgb_depth3_regularized_v1,logistic_regression_l2,0.5583609365655613,0.5536263592793188,0.004734577286242492,0.5687829507974371,0.5684575957449451,0.0003253550524919824,0.6887197249639249,0.6887636821100919,-4.39571461670063e-05,0.247776498097622,0.24781731378428895,-4.081568666694513e-05,0.5419532324621733,0.5387436955524989,0.003209536909674404,0.08119907777764629,0.07467623862545777,0.006522839152188514,8724,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2020,OFFSET_35,xgb_depth3_regularized_v1,logistic_regression_l2,0.5535645661814157,0.54776310298038,0.005801463201035695,0.5685176917015196,0.5635191675963747,0.004998524105144897,0.6899785605991564,0.6902514216727443,-0.00027286107358792666,0.24840047377488064,0.24854778814038136,-0.00014731436550072252,0.5375974323704723,0.5350756533700137,0.0025217790004585794,0.07309392803177765,0.06745632793180183,0.005637600099975826,8724,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2020,OFFSET_40,xgb_depth3_regularized_v1,logistic_regression_l2,0.5563830184855193,0.5512136007938534,0.005169417691665901,0.5740425965388964,0.5648078605628123,0.009234735976084152,0.688941525469148,0.6893399917218516,-0.0003984662527035665,0.2479031097100856,0.24810580727938095,-0.00020269756929533478,0.5365126676602087,0.5341052390232718,0.0024074286369368814,0.07091703095234152,0.06576221621219312,0.005154814740148395,8723,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2020,OFFSET_45,xgb_depth3_regularized_v1,logistic_regression_l2,0.5552519877044632,0.5519107600465116,0.0033412276579515288,0.5699778361459601,0.5621322369284312,0.00784559921752892,0.6895275129641601,0.689550848713622,-2.333574946189465e-05,0.2481957487092074,0.24816680667695493,2.8942032252482486e-05,0.5359394703656999,0.5373151438725209,-0.0013756735068209958,0.07045640443644817,0.07318694500676023,-0.002730540570312065,8723,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2020,OFFSET_50,xgb_depth3_regularized_v1,logistic_regression_l2,0.5633082977727936,0.5567634020034624,0.006544895769331149,0.5773784658389025,0.5694176107642536,0.007960855074648943,0.6874692056825265,0.6883339168447032,-0.00086471116217679,0.24716951255611816,0.2476029145729678,-0.0004334020168496322,0.5456317358404036,0.5442559046090346,0.0013758312313689736,0.08910572129104442,0.08630744497668907,0.0027982763143553496,8722,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2020,OFFSET_55,xgb_depth3_regularized_v1,logistic_regression_l2,0.5667145020031936,0.5579024191772585,0.008812082825935152,0.5787318568856907,0.5706756676366911,0.008056189248999646,0.686815509633967,0.6881479258896268,-0.0013324162556598296,0.2468355434261162,0.24750558767496023,-0.0006700442488440372,0.5513643659711075,0.5431093785828939,0.00825498738821362,0.1007341245844821,0.08404804778156372,0.01668607680291838,8722,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2020,ALL_MARGINS,xgb_depth3_regularized_v1,logistic_regression_l2,0.5640404886103392,0.5574944775399141,0.006546011070425073,0.5758301714387677,0.568806215678112,0.007023955760655731,0.6871696867848335,0.6881258178431385,-0.0009561310583050542,0.2470241321236768,0.24749415772779748,-0.00047002560412068295,0.5449394724018994,0.5412896630136724,0.00364980938822701,0.08779145768523612,0.08044140736564893,0.007350050319587187,104663,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2020,ABS_RETURN_GE_1BPS,xgb_depth3_regularized_v1,logistic_regression_l2,0.565985575096771,0.5592674092912018,0.006718165805569276,0.577826694190917,0.5706762645516444,0.007150429639272593,0.6866416870295443,0.6877273317570441,-0.0010856447274998349,0.2467644628829852,0.24729712679499488,-0.0005326639120096788,0.5464307408931476,0.5423451492171733,0.004085591675974332,0.09069665429241712,0.08249385053030629,0.008202803762110827,102066,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2020,ABS_RETURN_GE_2_5BPS,xgb_depth3_regularized_v1,logistic_regression_l2,0.5678387196485754,0.5608993331297136,0.006939386518861723,0.580193838096679,0.5727247671086807,0.007469070987998316,0.6861372569503513,0.6873632640752101,-0.0012260071248587634,0.24651632007632093,0.2471169268213276,-0.000600606745006671,0.5480278374991084,0.5437075228497774,0.004320314649331025,0.09375131691310251,0.08515209513036094,0.00859922178274157,98141,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2020,ABS_RETURN_GE_5BPS,xgb_depth3_regularized_v1,logistic_regression_l2,0.5706418177371577,0.5636935667687402,0.0069482509684175575,0.583288372862318,0.5760185337962663,0.00726983906605172,0.6853899828051279,0.6867325444000454,-0.001342561594917524,0.24614791040331171,0.24680486649125025,-0.0006569560879385317,0.5505464927479378,0.5456645635141173,0.00488192923382047,0.09861430622784849,0.0889299775848879,0.009684328642960593,91767,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2020,ABS_RETURN_GE_10BPS,xgb_depth3_regularized_v1,logistic_regression_l2,0.5742152197134062,0.5670988602769176,0.007116359436488584,0.5882882259579556,0.5811909807646551,0.007097245193300461,0.6843839066500226,0.6859398522761093,-0.001555945626086741,0.24565242082570707,0.24641252237707703,-0.0007601015513699627,0.5535449682296506,0.5477685410754201,0.005776427154230546,0.10402912783933688,0.09282597157179807,0.011203156267538802,79634,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2021,DENSE,xgb_depth3_regularized_v1,logistic_regression_l2,0.5295504204251025,0.5262800002978488,0.003270420127253648,0.5305863670865283,0.5306266349179691,-4.026783144084334e-05,0.692399821408674,0.6953242511990091,-0.002924429790335137,0.24962415501960825,0.25105552371514944,-0.0014313686955411964,0.5204832183952023,0.5192589120890683,0.0012243063061340154,0.03903963661818653,0.03695579205607909,0.0020838445621074453,104549,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2021,NONOVERLAP_OFFSET_00,xgb_depth3_regularized_v1,logistic_regression_l2,0.5467248141889933,0.5405245082899484,0.006200305899044967,0.5416918670067626,0.5417835009847767,-9.16339780140385e-05,0.6901501613206091,0.6924544485180516,-0.0023042871974424672,0.2485050850820337,0.24963824011809488,-0.0011331550360611786,0.5294995408631772,0.5286960514233241,0.000803489439853089,0.05859460278348758,0.05686073851039803,0.0017338642730895526,8712,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2021,OFFSET_00,xgb_depth3_regularized_v1,logistic_regression_l2,0.5467248141889933,0.5405245082899484,0.006200305899044967,0.5416918670067626,0.5417835009847767,-9.16339780140385e-05,0.6901501613206091,0.6924544485180516,-0.0023042871974424672,0.2485050850820337,0.24963824011809488,-0.0011331550360611786,0.5294995408631772,0.5286960514233241,0.000803489439853089,0.05859460278348758,0.05686073851039803,0.0017338642730895526,8712,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
vs_logistic_regression_l2,fold_2021,OFFSET_05,xgb_depth3_regularized_v1,logistic_regression_l2,0.5385754297290758,0.5314873710496476,0.007088058679428189,0.5330658004649222,0.5278048014134977,0.00526099905142452,0.6913304390794883,0.6945269577173783,-0.0031965186378899446,0.24909145699654955,0.25065538372610346,-0.0015639267295539105,0.5271495809895534,0.5260016071633566,0.001147973826196802,0.05406608090432539,0.05156639187453302,0.0024996890297923693,8711,Positive ROC-AUC/AP/Accuracy/MCC favors candidate; negative LogLoss/Brier favors candidate.
