feature_name,mean_gain,std_gain,mean_normalized_gain,mean_rank,median_rank,used_fold_count,top10_fold_count
semivariance_imbalance_60m,23.932049179077147,3.9880796471986697,0.0030576199755563372,32.0,31.0,5,0
close_location,35.83328742980957,11.131294071570505,0.002928136223181949,30.8,32.0,5,0
volatility_ratio_15_120,25.828885650634767,7.703534778953622,0.002564015547807892,32.8,34.0,5,0
normalized_slope_15m,33.96440811157227,9.708496144917198,0.002560326267277345,31.0,31.0,5,0
normalized_atr_14,22.20418014526367,13.866937385928823,0.0023442282165171495,34.6,31.0,4,0
ema_distance_5,32.624385833740234,9.338665411896178,0.0022786514324359126,31.6,30.0,5,0
range_position_30m,35.308306503295896,14.626498131581489,0.0022268660318937117,33.2,34.0,5,0
lower_wick_mean_15m,26.809101104736328,7.31097349615271,0.0020375152615055335,34.2,36.0,5,0
log_return_5m,27.67148208618164,5.8837336166504315,0.0018761314348283696,34.6,33.0,5,0
taker_buy_quote_ratio_15m,13.579203033447266,13.425683416057353,0.0017896411733563783,42.4,35.0,3,0
log_return_15m,38.97634048461914,38.10565122205836,0.0017516862270441139,38.2,42.0,5,0
range_position_60m,24.851046752929687,5.487878574184009,0.0014948604372963564,38.4,39.0,5,0
realized_volatility_15m,29.892824172973633,4.384575342407441,0.001480355800250344,39.0,40.0,5,0
weekday_cos,25.854110336303712,21.81546121709336,0.0014029133513956417,42.2,40.0,4,0
upper_wick_ratio,18.417223358154295,11.059482633924373,0.0013573994221730092,40.0,42.0,4,0
volume_ratio_5_60,26.847183227539062,7.178094022380347,0.001051881074710724,41.4,41.0,5,0
log_return_3m,14.052239227294923,14.000818619321018,0.0006246461662788585,46.0,46.0,3,0
taker_buy_quote_ratio_5m,11.662600708007812,10.910758002812926,0.00048293153879383504,51.8,51.0,3,0
buy_pressure_persistence_15m,14.892586135864258,10.040300125790672,0.0004131188284228619,50.0,45.0,4,0
up_candle_ratio_15m,10.792079544067382,9.906755124780148,0.00040538944462172424,49.0,49.0,3,0
efficiency_ratio_15m,6.772412490844727,6.720305493743893,0.00039835012081369705,49.4,48.0,3,0
log_trade_count_zscore_60m,8.338681411743163,8.155811508249197,0.0003882800622898202,55.4,56.0,3,0
volatility_ratio_5_60,8.791707992553711,6.568464109076145,0.00034686096109963477,51.6,48.0,4,0
buy_pressure_change_5_60,5.579698371887207,7.678134953045712,0.00034142786004237753,55.2,59.0,2,0
realized_volatility_5m,16.190290641784667,11.956116684933377,0.0003305188915433722,50.0,49.0,4,0
signed_body_ratio,13.78255500793457,13.267753371850315,0.00022321363274181984,51.2,51.0,3,0
log_quote_volume_zscore_60m,7.972954368591308,7.808022175539344,0.00021166885058710567,54.2,55.0,3,0
signed_body_mean_5m,10.504769897460937,10.74507669487442,0.0002100735911711205,53.0,52.0,3,0
log_avg_trade_quote_size_zscore_60m,8.132928276062012,8.495734563322921,0.00020744219425692178,57.0,57.0,3,0
log_return_1m,8.369361114501952,7.894631013086415,0.00018337796221270982,50.4,53.0,3,0
absolute_body_ratio,13.871689414978027,11.289501505439752,0.00018315366273745473,52.6,55.0,4,0
lower_wick_ratio,6.507006454467773,8.913187061913483,0.00017034991915644484,53.6,52.0,2,0
is_weekend,7.581644439697266,16.953072348396393,7.618429974731336e-05,61.8,63.0,1,0
taker_buy_quote_ratio_1m,1.599261474609375,3.5760573710231163,2.3852716926865304e-05,59.2,60.0,1,0
is_zero_volume_1m,0.0,0.0,0.0,58.4,60.0,0,0
