final_split_role,period_utc,sample_count,up_count,down_count,up_ratio,boundary_risk_5bps_ratio,boundary_risk_10bps_ratio
DEVELOPMENT,202310,8928,4693,4235,0.525649641577061,0.1821236559139785,0.3409498207885305
DEVELOPMENT,202311,8640,4453,4187,0.5153935185185186,0.15057870370370371,0.29212962962962963
DEVELOPMENT,202312,8928,4605,4323,0.5157930107526881,0.13127240143369176,0.26400089605734767
DEVELOPMENT,202401,8928,4511,4417,0.5052643369175627,0.11883960573476703,0.243839605734767
DEVELOPMENT,202402,8352,4393,3959,0.5259818007662835,0.13769157088122605,0.26927681992337166
DEVELOPMENT,202403,8928,4694,4234,0.5257616487455197,0.09408602150537634,0.18884408602150538
DEVELOPMENT,202404,8640,4193,4447,0.48530092592592594,0.09988425925925926,0.19328703703703703
DEVELOPMENT,202405,8928,4522,4406,0.5064964157706093,0.12410394265232975,0.2505600358422939
DEVELOPMENT,202406,8640,4294,4346,0.49699074074074073,0.20277777777777778,0.3715277777777778
DEVELOPMENT,202407,8928,4599,4329,0.5151209677419355,0.10775089605734767,0.2144937275985663
DEVELOPMENT,202408,8928,4497,4431,0.5036962365591398,0.10170250896057348,0.20082885304659498
DEVELOPMENT,202409,8640,4341,4299,0.5024305555555556,0.12314814814814815,0.23935185185185184
DEVELOPMENT,202410,8928,4615,4313,0.516913082437276,0.14269713261648745,0.2824820788530466
DEVELOPMENT,202411,8640,4609,4031,0.533449074074074,0.10729166666666666,0.20451388888888888
DEVELOPMENT,202412,8916,4530,4386,0.5080753701211306,0.11238223418573351,0.21534320323014805
FINAL_TEST,202501,8928,4508,4420,0.5049283154121864,0.1226478494623656,0.23431899641577061
FINAL_TEST,202502,8064,3987,4077,0.49441964285714285,0.1355406746031746,0.2594246031746032
FINAL_TEST,202503,8928,4534,4394,0.5078405017921147,0.10741487455197132,0.21471774193548387
FINAL_TEST,202504,8640,4432,4208,0.512962962962963,0.12094907407407407,0.24328703703703702
FINAL_TEST,202505,8928,4598,4330,0.5150089605734767,0.14572132616487454,0.2824820788530466
FINAL_TEST,202506,8640,4392,4248,0.5083333333333333,0.1841435185185185,0.3476851851851852
FINAL_TEST,202507,8928,4544,4384,0.5089605734767025,0.17585125448028674,0.3346774193548387
FINAL_TEST,202508,8928,4349,4579,0.48711917562724016,0.1622983870967742,0.322244623655914
FINAL_TEST,202509,8640,4367,4273,0.5054398148148148,0.21331018518518519,0.403125
FINAL_TEST,202510,8928,4513,4415,0.5054883512544803,0.1262320788530466,0.24955197132616488
FINAL_TEST,202511,8640,4287,4353,0.49618055555555557,0.12037037037037036,0.22395833333333334
FINAL_TEST,202512,8928,4588,4340,0.5138888888888888,0.16577060931899643,0.31899641577060933
FINAL_TEST,202601,8928,4415,4513,0.4945116487455197,0.17820340501792115,0.34408602150537637
FINAL_TEST,202602,8064,3996,4068,0.4955357142857143,0.09040178571428571,0.18167162698412698
FINAL_TEST,202603,8928,4373,4555,0.4898073476702509,0.10181451612903226,0.20273297491039427
FINAL_TEST,202604,8640,4468,4172,0.5171296296296296,0.15150462962962963,0.2934027777777778
FINAL_TEST,202605,8928,4472,4456,0.5008960573476703,0.1814516129032258,0.3382616487455197
FINAL_TEST,202606,8640,4040,4600,0.4675925925925926,0.10844907407407407,0.21331018518518519
FINAL_TEST,202607,2293,1201,1092,0.5237679895333625,0.1282163105102486,0.25207152202354993
PURGED_BEFORE_FINAL_TEST,202412,12,10,2,0.8333333333333334,0.16666666666666666,0.3333333333333333
