hour,matched_minutes,reliable_minutes,base_volume_relative_error_mean,base_volume_relative_error_median,quote_volume_relative_error_mean,active_buy_base_relative_error_mean,max_abs_price_error_bps_mean,id_gap_minutes,hour_utc
1662224400000,60,48,0.006503851208054949,0.001242446265338421,0.006503705134942449,0.006806960304101632,0.008457468449075354,46,2022-09-03T17:00:00+00:00
1662228000000,60,55,0.0030528271626136224,0.00028719110062548874,0.003052946650071817,0.004323562077444509,0.003594671352954545,41,2022-09-03T18:00:00+00:00
1662231600000,60,46,0.006881072562308055,0.001367579300979123,0.006880672849780723,0.004690586859070086,0.011606368061855128,49,2022-09-03T19:00:00+00:00
1662235200000,60,51,0.004279263894490902,0.0004630519053795892,0.004279219964209112,0.005691430684311754,0.013272334100452159,39,2022-09-03T20:00:00+00:00
1662238800000,60,50,0.006200715949390364,9.917634049293768e-06,0.0062007753977444124,0.006903620312036677,0.008718059111867177,30,2022-09-03T21:00:00+00:00
1662242400000,60,55,0.002317742906404594,1.67812697614759e-05,0.0023177789684113805,0.001122342736844532,0.002938156112067583,31,2022-09-03T22:00:00+00:00
1662246000000,60,50,0.008220869535551196,0.0,0.008220574335748921,0.007925281667526598,0.02404954692527204,27,2022-09-03T23:00:00+00:00
1662249600000,60,52,0.003704003547549489,0.00028222075103839046,0.0037039068725224205,0.005608303668271157,0.003521070087222138,40,2022-09-04T00:00:00+00:00
1662253200000,60,52,0.005259289560076342,0.0002551302630066248,0.005259042203434287,0.005801914128410883,0.011249017491617535,40,2022-09-04T01:00:00+00:00
1662256800000,60,53,0.0043364781737888,7.612663038084432e-05,0.004336320607278909,0.0039123066919299326,0.01190441712616875,35,2022-09-04T02:00:00+00:00
1662260400000,60,53,0.003665294570340887,0.00028939513100681707,0.003665325633376464,0.0033172707987719962,0.017619865245999792,38,2022-09-04T03:00:00+00:00
1662264000000,60,51,0.004982916206646439,0.00041700829947627805,0.00498294606870612,0.004226611027563879,0.0027087776935828286,39,2022-09-04T04:00:00+00:00
1662267600000,60,53,0.002837854530685437,0.0002034531542212932,0.0028378352998397,0.0037544862790612186,0.003410928202179024,39,2022-09-04T05:00:00+00:00
1662271200000,60,47,0.006336362192520114,0.0005690962069482395,0.006335471174853841,0.0032123480207125387,0.024486446324821807,45,2022-09-04T06:00:00+00:00
1662274800000,60,55,0.002982699616261173,0.00014461112374712862,0.0029824900879176757,0.0025432153856125342,0.004343797282250273,37,2022-09-04T07:00:00+00:00
1662278400000,60,53,0.0047770459058856605,0.0009317876132910324,0.004776987682263163,0.005403695802882797,0.00843024154522782,45,2022-09-04T08:00:00+00:00
1662282000000,60,55,0.003505537462599499,0.0003002657261390447,0.0035052543534600617,0.003935529844274358,0.006458665343322395,44,2022-09-04T09:00:00+00:00
1662285600000,60,53,0.004646816690328837,0.00022040126728214315,0.004647018100710995,0.007520750713246921,0.00652144389488579,39,2022-09-04T10:00:00+00:00
1662289200000,60,53,0.005479624130264175,0.00025983831507259744,0.005479576182954166,0.004310760610358661,0.023728876369702796,37,2022-09-04T11:00:00+00:00
1662292800000,60,51,0.005859536675895857,0.0015357316933541742,0.005858652920022995,0.0037136841230107896,0.026371991892463954,56,2022-09-04T12:00:00+00:00
1662296400000,60,47,0.007033368607991783,0.0013802582991653037,0.007033520587656629,0.00535473947360489,0.02241644905078128,51,2022-09-04T13:00:00+00:00
1662300000000,60,50,0.006424836138550178,0.0007200733569878604,0.006424643180864753,0.005719511355981198,0.006971098206815725,47,2022-09-04T14:00:00+00:00
1662303600000,60,57,0.003783678783614908,0.0006695087018775122,0.0037833746163942064,0.00209684921999269,0.0043530333484036255,41,2022-09-04T15:00:00+00:00
1662307200000,60,49,0.007256263355099378,0.0006180371411432295,0.007256964627852563,0.0078802190824441,0.031127080076845247,44,2022-09-04T16:00:00+00:00
1662310800000,60,51,0.0082069618498036,0.0008659370927697255,0.008208225786616423,0.009419271133939196,0.02462954788252045,43,2022-09-04T17:00:00+00:00
1662314400000,47,43,0.02163351388695743,0.0002427713166781114,0.02163325822767174,0.022490804177627353,0.1030313375646638,33,2022-09-04T18:00:00+00:00
