model_name,subset_name,summary_type,fold_name,sample_count,positive_count,negative_count,positive_ratio,accuracy,balanced_accuracy,roc_auc,roc_auc_missing_reason,average_precision,pr_auc_lift_vs_positive_ratio,mcc,precision,recall,f1,specificity,negative_predictive_value,log_loss,brier_score,tn,fp,fn,tp,mean_predicted_probability,predicted_positive_ratio
momentum_60m_baseline,ABS_RETURN_GE_5BPS,best_fold_by_roc_auc,fold_2022,92574.0,46217.0,46357.0,0.49924384816471146,0.45889774666753086,0.4588950061999346,0.5411049938000654,,0.5214825681430479,1.0445448052291262,-0.08221039710264257,0.45799457994579945,0.4570828915766926,0.45753828160533666,0.46070712082317666,0.4597946134470064,0.6902219805764003,0.2485383075284558,21357.0,25000.0,25092.0,21125.0,0.5134429983026129,0.49825004860976085
momentum_60m_baseline,ABS_RETURN_GE_5BPS,worst_fold_by_roc_auc,fold_2021,97317.0,49442.0,47875.0,0.5080510085596556,0.4878181612667879,0.4877177693661788,0.5122822306338213,,0.5143407308014691,1.0123800999030494,-0.024563067055111337,0.49591845022946024,0.4939525100117309,0.49493352788586253,0.48148302872062665,0.4795198768488278,0.6947765952565732,0.2508077257313346,23051.0,24824.0,25020.0,24422.0,0.5148953694058719,0.506036971957623
momentum_60m_baseline,ABS_RETURN_GE_10BPS,pooled,,399257.0,204090.0,195167.0,0.5111745066460951,0.4668897477063646,0.4667419550812225,0.5311611887859372,,0.534248940339421,1.0451400322068511,-0.06650405875112049,0.47831877686015883,0.4733548924494096,0.4758238889627693,0.4601290177130355,0.4551891932990344,0.6908906120823253,0.24887232566479572,89802.0,105365.0,107483.0,96607.0,0.5122979198080359,0.505869652880225
momentum_60m_baseline,ABS_RETURN_GE_10BPS,fold_macro_mean,,79851.4,40818.0,39033.4,0.5113416834529556,0.4661643182667504,0.46591699538664744,0.5340830046133525,,0.5296459562254553,1.0357859898076498,-0.0681504736077134,0.47769879644766267,0.4726989920472178,0.4751843969303158,0.459134998726077,0.454166259910203,0.6907547267759446,0.24880463757228793,17960.4,21073.0,21496.6,19321.4,0.512160420591262,0.5059897767101681
momentum_60m_baseline,ABS_RETURN_GE_10BPS,fold_macro_std,,7838.791730872814,3885.561285065518,4051.7021484803154,0.008025202553734673,0.012618489821570796,0.012726696843655995,0.012726696843656021,,0.01127243831003266,0.013856321986064167,0.025447213028118237,0.014404499893643717,0.013729892745319116,0.014038206633375221,0.015666062284504366,0.016249390524669616,0.0022851116118518863,0.0011381129184594358,2385.9842413561746,1754.362704801946,1738.411573822494,2254.376476988704,0.002272334894684858,0.006713771961831878
momentum_60m_baseline,ABS_RETURN_GE_10BPS,best_fold_by_roc_auc,fold_2022,80908.0,40425.0,40483.0,0.49964156820091954,0.4570499826963959,0.4570474797586001,0.5429525202414,,0.52295136707881,1.046653041623064,-0.08590707618184079,0.4563897047841888,0.4535559678416821,0.4549684239258552,0.4605389916755181,0.45770118328668924,0.689941135729597,0.2483982475664413,18644.0,21839.0,22090.0,18335.0,0.5135658970637137,0.4965392791812923
momentum_60m_baseline,ABS_RETURN_GE_10BPS,worst_fold_by_roc_auc,fold_2021,90308.0,45904.0,44404.0,0.5083049120786641,0.48664570137750807,0.4865691620216153,0.5134308379783846,,0.5151973896918437,1.0135597304873436,-0.026859003236279932,0.4949945115257958,0.4911772394562565,0.49307848754565137,0.4819610845869741,0.47814915769247957,0.6945648830508514,0.2507022516169806,21401.0,23003.0,23357.0,22547.0,0.5150391974262347,0.5043849935775346
prior_baseline,DENSE,pooled,,524748.0,266712.0,258036.0,0.5082668252189623,0.5082668252189623,0.5,0.5005045509630707,,0.5085934510462323,1.0006426266894939,0.0,0.5082668252189623,1.0,0.67397467970586,0.0,,0.6930438719619813,0.24994833983381012,0.0,258036.0,0.0,266712.0,0.5117077765222076,1.0
prior_baseline,DENSE,fold_macro_mean,,104949.6,53342.4,51607.2,0.5082718470159795,0.5082718470159795,0.5,0.5,,0.5082718470159795,1.0,0.0,0.5082718470159795,1.0,0.6739584869596295,0.0,,0.6930436666573061,0.24994823719220136,0.0,51607.2,0.0,53342.4,0.5117121358812886,1.0
prior_baseline,DENSE,fold_macro_std,,344.15592396470527,668.4828344841773,763.4298920005687,0.0066492123208257625,0.0066492123208257625,0.0,0.0,,0.0066492123208257625,0.0,0.0,0.0066492123208257625,0.0,0.005843248489973725,0.0,,0.0003344536336012715,0.0001671910681353112,0.0,763.4298920005687,0.0,668.4828344841773,0.0019799779109984017,0.0
prior_baseline,DENSE,best_fold_by_roc_auc,fold_2020,104663.0,54183.0,50480.0,0.5176901101630949,0.5176901101630949,0.5,0.5,,0.5176901101630949,1.0,0.0,0.5176901101630949,1.0,0.6822079246565856,0.0,,0.6925726129544906,0.249712760300385,0.0,50480.0,0.0,54183.0,0.5126205640327789,1.0
prior_baseline,DENSE,worst_fold_by_roc_auc,fold_2020,104663.0,54183.0,50480.0,0.5176901101630949,0.5176901101630949,0.5,0.5,,0.5176901101630949,1.0,0.0,0.5176901101630949,1.0,0.6822079246565856,0.0,,0.6925726129544906,0.249712760300385,0.0,50480.0,0.0,54183.0,0.5126205640327789,1.0
prior_baseline,NONOVERLAP_OFFSET_00,pooled,,43728.0,22256.0,21472.0,0.508964507866813,0.508964507866813,0.5,0.4983264091245242,,0.5078060297901219,0.9977238529233667,0.0,0.508964507866813,1.0,0.6745877788554802,0.0,,0.6930284036043727,0.24994060403596102,0.0,21472.0,0.0,22256.0,0.5117077201951427,1.0
prior_baseline,NONOVERLAP_OFFSET_00,fold_macro_mean,,8745.6,4451.2,4294.4,0.5089663569837134,0.5089663569837134,0.5,0.5,,0.5089663569837134,1.0,0.0,0.5089663569837134,1.0,0.6745582696928555,0.0,,0.6930283496753804,0.2499405770658428,0.0,4294.4,0.0,4451.2,0.5117121358812886,1.0
prior_baseline,NONOVERLAP_OFFSET_00,fold_macro_std,,29.013789824840188,71.69170105388768,74.00878326252905,0.008169742128438457,0.008169742128438457,0.0,0.0,,0.008169742128438457,0.0,0.0,0.008169742128438457,0.0,0.007188037115988409,0.0,,0.00041446850532280625,0.00020718884679382795,0.0,74.00878326252905,0.0,71.69170105388768,0.0019799779109983357,0.0
